category,top_keys
政治,"[('台灣', 172), ('關稅', 163), ('美國', 146), ('產業', 102), ('政府', 90), ('總統', 64), ('川普', 45), ('賴清德', 45), ('裕隆', 43), ('卓榮泰', 42), ('貿易', 37), ('民進黨', 36), ('立委', 35), ('國家', 34), ('美方', 33), ('衝擊', 33), ('行政院', 32), ('經濟', 31), ('政策', 30), ('中國', 30), ('全球', 28), ('企業', 28), ('徐巧芯', 28), ('措施', 28), ('方案', 26), ('代表', 25), ('我國', 25), ('議員', 25), ('經貿', 24), ('時間', 24), ('台積電', 24), ('關係', 23), ('集團', 23), ('蔣萬安', 22), ('影響', 22), ('行政院長', 21), ('黨團', 21), ('卓揆', 20), ('問題', 20), ('汽車', 20), ('國民黨', 19), ('市長', 18), ('朝野', 17), ('官員', 17), ('院長', 17), ('策略', 17), ('預算', 15), ('國際', 15), ('調查局', 15), ('總召', 14), ('談判', 14), ('立法院', 14), ('柯建銘', 13), ('市場', 13), ('我方', 12), ('郭智輝', 12), ('稅率', 12), ('報告', 12), ('需求', 12), ('條例', 12), ('國安', 12), ('對策', 12), ('台股', 12), ('臺灣', 12), ('國人', 11), ('民眾', 11), ('人民', 11), ('世界', 11), ('團隊', 11), ('林佳龍', 11), ('情勢', 11), ('台北', 11), ('機會', 11), ('何姓', 11), ('助理', 11), ('蕭美琴', 11), ('行程', 10), ('立院', 10), ('產品', 10), ('危機', 10), ('會議', 10), ('台美', 10), ('中共', 10), ('責任', 10), ('廠商', 10), ('照片', 10), ('布局', 10), ('鄭麗君', 10), ('李慧芝', 10), ('北市', 9), ('事實', 9), ('投資', 9), ('過程', 9), ('利益', 9), ('台北市', 9), ('聲明', 9), ('兩岸', 9), ('方面', 9), ('期間', 9), ('社會', 9)]"
國際,"[('美國', 246), ('關稅', 225), ('川普', 151), ('中國', 142), ('總統', 81), ('國際', 57), ('中心', 44), ('台灣', 40), ('國家', 40), ('白宮', 33), ('美方', 32), ('貿易', 31), ('日本', 31), ('商品', 30), ('經濟', 30), ('全球', 29), ('歐盟', 28), ('政府', 27), ('措施', 26), ('市場', 25), ('政策', 23), ('股市', 23), ('民眾', 22), ('時間', 22), ('美股', 20), ('協議', 19), ('南韓', 19), ('尹錫悅', 18), ('問題', 17), ('公司', 17), ('中方', 16), ('指數', 14), ('媒體', 14), ('稅率', 14), ('巴拿馬', 14), ('官員', 12), ('世界', 12), ('公債', 12), ('交易', 12), ('機會', 11), ('軍事', 11), ('范斯', 11), ('緬甸', 11), ('專家', 10), ('當地', 10), ('歐洲', 10), ('威脅', 10), ('丹尼索瓦人', 10), ('習近平', 10), ('電影', 10), ('石破茂', 10), ('大谷', 10), ('代表', 9), ('產品', 9), ('價格', 9), ('北京', 9), ('台幣', 9), ('納瓦羅', 9), ('自家', 9), ('主席', 9), ('貿易戰', 9), ('馬斯克', 9), ('投資人', 9), ('跌幅', 9), ('大選', 9), ('汽車', 9), ('小時', 8), ('首都', 8), ('集團', 8), ('顧問', 8), ('發言人', 8), ('社群', 8), ('化石', 8), ('關稅戰', 8), ('信心', 8), ('赫格塞斯', 8), ('黃金', 8), ('分析師', 8), ('網友', 8), ('越南', 8), ('手機', 7), ('晶片', 7), ('蘋果', 7), ('地區', 7), ('結果', 7), ('談判', 7), ('科技', 7), ('技術', 7), ('特斯拉', 7), ('設施', 7), ('道瓊', 7), ('通膨', 7), ('殖利率', 7), ('國會', 7), ('法院', 7), ('貝森特', 7), ('夜店', 7), ('高額', 6), ('期間', 6), ('企業', 6)]"
社會,"[('民眾', 36), ('警方', 35), ('男子', 33), ('人員', 31), ('家屬', 26), ('醫院', 25), ('謝宜容', 24), ('列車', 24), ('檢方', 23), ('原因', 23), ('專線', 22), ('瓦斯', 21), ('台中', 19), ('現場', 18), ('嫌犯', 18), ('工人', 16), ('行為', 15), ('事件', 15), ('公司', 15), ('檢察官', 14), ('新聞', 14), ('男童', 14), ('地檢署', 14), ('男嬰', 14), ('律師', 14), ('女子', 14), ('小時', 13), ('學校', 13), ('少女', 13), ('李姓', 13), ('案件', 12), ('附近', 12), ('處分', 12), ('新光三越', 11), ('台視', 11), ('房東', 11), ('證據', 11), ('保母', 11), ('林岱樺', 10), ('高雄', 10), ('被告', 10), ('女童', 10), ('法官', 10), ('台北', 10), ('問題', 10), ('學生', 10), ('劉姓', 10), ('柯文哲', 10), ('意外', 9), ('欣中', 9), ('結果', 9), ('中心', 9), ('居民', 9), ('兒子', 9), ('法院', 9), ('麥當勞', 9), ('屋主', 9), ('飼主', 9), ('宜蘭', 9), ('手術', 9), ('事證', 8), ('主任', 8), ('警消', 8), ('火勢', 8), ('台南', 8), ('罪嫌', 8), ('主管', 8), ('身體', 8), ('媽媽', 8), ('消防局', 8), ('霸凌', 8), ('妻子', 8), ('死者', 8), ('廠商', 8), ('楊智翔', 8), ('花蓮', 8), ('女兒', 8), ('月台', 8), ('乘客', 8), ('服務處', 7), ('業者', 7), ('毒品', 7), ('桃園', 7), ('生活', 7), ('科技', 7), ('死因', 7), ('吊車', 7), ('救護車', 7), ('情況', 7), ('責任', 7), ('襄理', 7), ('生命線', 7), ('軌道', 7), ('捷運', 7), ('板南線', 7), ('府中站', 7), ('民宅', 7), ('助理', 6), ('媒體', 6), ('案情', 6)]"
娛樂,"[('金秀賢', 101), ('金賽綸', 92), ('粉絲', 58), ('公司', 57), ('台灣', 56), ('活動', 43), ('時間', 33), ('影片', 26), ('網友', 25), ('老師', 25), ('中國', 24), ('爭議', 23), ('頻道', 23), ('家寧', 22), ('橫豎', 21), ('包偉銘', 20), ('內容', 20), ('木村拓哉', 20), ('研究所', 20), ('曾國城', 20), ('聲明', 19), ('藝人', 19), ('女星', 18), ('事件', 18), ('趙駿亞', 18), ('台北', 17), ('節目', 17), ('記者會', 17), ('演員', 15), ('品牌', 15), ('男友', 15), ('張學友', 14), ('暴力', 14), ('木村', 14), ('新聞', 14), ('演唱會', 13), ('姚元浩', 13), ('店長', 13), ('日本', 13), ('警局', 13), ('拓哉', 13), ('對話', 13), ('家人', 13), ('高雄', 12), ('韓國', 12), ('台視', 12), ('過程', 12), ('韓星', 12), ('照片', 12), ('風波', 11), ('男神', 11), ('國際', 11), ('律師', 11), ('關係', 11), ('吳婉君', 11), ('小姐', 11), ('社群', 10), ('法律', 10), ('成員', 10), ('司法', 10), ('警方', 10), ('形象', 10), ('南韓', 10), ('證據', 10), ('家屬', 10), ('程序', 10), ('李多慧', 10), ('女友', 10), ('蕭敬騰', 10), ('觀眾', 9), ('中文', 9), ('郭泓志', 9), ('人員', 9), ('蔡琴', 9), ('媽媽', 9), ('賽綸', 9), ('帳冊', 9), ('事業', 8), ('責任', 8), ('白安', 8), ('辦法', 8), ('工作', 8), ('歌手', 8), ('身體', 8), ('股票', 8), ('案件', 8), ('朋友', 8), ('問題', 8), ('秀賢', 8), ('提告', 8), ('男星', 8), ('杜力', 8), ('侯佩岑', 8), ('李鎮浩', 8), ('張家輝', 7), ('電影', 7), ('行程', 7), ('身分', 7), ('現場', 7), ('張菲', 7)]"
體育,"[('台灣', 147), ('台灣隊', 87), ('經典賽', 79), ('西班牙', 59), ('資格賽', 56), ('投手', 53), ('棒球', 48), ('打者', 48), ('世界', 45), ('球迷', 42), ('陳傑憲', 42), ('球員', 41), ('職棒', 34), ('附加賽', 32), ('陳偉殷', 32), ('日本', 31), ('選手', 31), ('比賽', 30), ('生涯', 28), ('林智勝', 28), ('大聯盟', 27), ('安打', 27), ('門票', 26), ('機會', 23), ('球團', 23), ('中職', 22), ('球隊', 21), ('二壘', 21), ('尼加拉瓜', 20), ('孫易磊', 20), ('徐若熙', 20), ('林昀儒', 19), ('啦啦隊', 19), ('美國', 18), ('賽事', 17), ('張育成', 16), ('球評', 16), ('冠軍', 15), ('張建偉', 15), ('成員', 15), ('壓力', 15), ('王博玄', 15), ('C組', 14), ('聯盟', 14), ('雲豹', 14), ('李雅英', 14), ('網友', 14), ('曾豪駒', 14), ('飛球', 14), ('韓國', 13), ('巨蛋', 13), ('統一獅', 13), ('隊長', 13), ('合約', 13), ('正賽', 13), ('莊陳仲敖', 13), ('官方', 12), ('關鍵', 12), ('職業', 12), ('宋晟睿', 12), ('成績', 11), ('中信', 11), ('兄弟', 11), ('記者會', 11), ('富邦', 11), ('李珠珢', 11), ('伍祐城', 11), ('鄭宗哲', 10), ('教練', 10), ('李相秀', 10), ('對手', 10), ('韓籍', 10), ('全壘打', 10), ('中華隊', 10), ('林佳緯', 10), ('吳念庭', 10), ('陳文杰', 10), ('蔣少宏', 10), ('好手', 9), ('總教練', 9), ('內野', 9), ('失誤', 9), ('群哥', 9), ('言論', 9), ('味全龍', 9), ('紀錄', 9), ('隊友', 9), ('中華', 9), ('打擊', 9), ('會內賽', 9), ('資格', 9), ('陣容', 9), ('西班牙隊', 9), ('三壘', 9), ('方向', 9), ('時間', 8), ('攻勢', 8), ('優勢', 8), ('訓練', 8), ('決賽', 8)]"
全部,"[('台灣', 418), ('美國', 417), ('關稅', 390), ('中國', 203), ('川普', 197), ('總統', 146), ('政府', 122), ('產業', 108), ('金秀賢', 101), ('公司', 98), ('金賽綸', 92), ('時間', 90), ('台灣隊', 88), ('國際', 86), ('國家', 81), ('經典賽', 79), ('日本', 78), ('世界', 74), ('民眾', 72), ('貿易', 68), ('美方', 65), ('粉絲', 65), ('中心', 64), ('經濟', 62), ('西班牙', 61), ('全球', 59), ('政策', 57), ('活動', 57), ('問題', 57), ('資格賽', 56), ('措施', 54), ('人員', 53), ('投手', 53), ('網友', 50), ('棒球', 49), ('機會', 48), ('打者', 48), ('球員', 47), ('聲明', 46), ('賴清德', 46), ('警方', 46), ('台北', 44), ('關係', 43), ('裕隆', 43), ('球迷', 43), ('卓榮泰', 42), ('陳傑憲', 42), ('家屬', 41), ('代表', 40), ('事件', 40), ('民進黨', 39), ('衝擊', 39), ('媒體', 39), ('比賽', 39), ('立委', 38), ('現場', 38), ('市場', 38), ('白宮', 38), ('影片', 38), ('男子', 37), ('集團', 36), ('記者會', 36), ('我國', 35), ('內容', 35), ('商品', 35), ('醫院', 35), ('職棒', 35), ('成員', 34), ('企業', 34), ('新聞', 34), ('原因', 34), ('行政院', 33), ('過程', 33), ('影響', 33), ('台積電', 33), ('議員', 32), ('方案', 32), ('選手', 32), ('南韓', 32), ('附加賽', 32), ('陳偉殷', 32), ('韓國', 31), ('汽車', 31), ('社群', 30), ('大聯盟', 30), ('老師', 30), ('官員', 29), ('律師', 29), ('股市', 29), ('小時', 29), ('頻道', 29), ('經貿', 28), ('結果', 28), ('台中', 28), ('徐巧芯', 28), ('檢方', 28), ('歐盟', 28), ('生涯', 28), ('林智勝', 28), ('責任', 27)]"
